Country Name,Number of cities,City with max length
Papua New Guinea,27,Port Moresby
Angola,21,Camabatela
Cambodia,14,Vott Kampong Svay]
Sudan,6,Umm Durman]
Kazakhstan,43,Ust-Kamenogorsk
Paraguay,27,Colonia Mariano Roque Alonso
Portugal,701,Aguiar da Beira Municipality
New Caledonia,5,Mont-Dore
Bahamas,7,Palmetto Point
Cayman Islands,7,[Bodden Town
Greece,167,Markopoulo Mesogaias
Latvia,48,Lapmezciems
Mongolia,21,Dalandzadgad
Iran,233,Hasanabad-e Qadamgah
Morocco,47,Fkih Ben Salah
Guadeloupe,28,Capesterre-de-Marie-Galante
Panama,73,Finca Blanco Numero Uno
Guatemala,43,Santa Lucia Cotzumalguapa
Iraq,16,Sulaymaniyah
Chile,121,Cerrillos de Tamaya
Nepal,6,[Bharatpur
Argentina,612,San Fernando del Valle de Catamarca
Isle of Man,13,Port Saint Mary
Tanzania,10,Dar es Salaam
Ukraine,230,Alekseyevo-Druzhkovka
Belize,7,Benque Viejo del Carmen
Ghana,16,Bolgatanga
Zambia,9,Livingstone
Bahrain,17,Madinat Hamad
Congo,5,Lubumbashi]
India,1020,Khajuraho Group of Monuments
Canada,2149,Circonscription electorale de Jacques-Cartier
Turkey,277,Magnesia ad Sipylum
Belgium,1150,Woluwe-Saint-Pierre - Sint-Pieters-Woluwe
Namibia,16,Katima Mulilo
Faroe Islands,8,Innan Glyvur
Finland,475,Kantomaanpaeae
Taiwan,66,Kaohsiung City
South Africa,328,Emnambithi-Ladysmith
Trinidad and Tobago,49,Ward of Tacarigua
Georgia,9,[Gogolesubani
Jamaica,17,Portland Cottage
Peru,85,Hacienda La Palma
Germany,7629,Bad Munster am Stein-Ebernburg
Puerto Rico,87,Residencial Puerto Real
Hong Kong,82,Tin Wan Resettlement Estate
Guinea,8,Port Kamsar
United States,20937,Fort Sill Indian School Reservation (historical)
Aruba,11,Sint Nicolaas
Madagascar,7,Antananarivo
Thailand,166,Ban Pratunam Tha Khai
Libya,5,[Benghazi
Costa Rica,67,San Jose de la Montana
Sweden,1223,Enskede-Arsta-Vantoer
Vietnam,112,Thanh Pho Thai Nguyen
Andorra,11,Escaldes-Engordany
Liechtenstein,14,Schellenberg
Poland,1641,Miedzybrodzie Zywieckie
Bulgaria,222,Dolna Oryakhovitsa
Kuwait,16,Janub as Surrah
Nigeria,87,Port Harcourt
Tunisia,12,Sidi Bouzid
Republic of Korea,93,Kwanghui-dong
Croatia,143,Sesvetski Kraljevec
Sri Lanka,37,Sri Jayewardenepura Kotte
Uruguay,16,Colonia del Sacramento
United Kingdom,3041,London Borough of Wandsworth
United Arab Emirates,10,Ras al-Khaimah
Kenya,23,Sawa Sawa
Switzerland,1324,Hausen am Albis / Hausen (Dorf)
French Polynesia,7,Punaauia]
Palestine,8,[Al Mawasi
Spain,2456,San Sebastian de los Ballesteros
Brunei,8,[Bandar Seri Begawan
Lebanon,18,Dik el Mehdi
Azerbaijan,8,Nakhchivan
Cuba,10,Santiago de Cuba
Venezuela,90,Puerto Ordaz and San Felix
Czech Republic,960,Brandys nad Labem-Stara Boleslav
Saint Lucia,6,[Anse La Raye
Swaziland,5,Piggs Peak]
Mayotte,12,Tsoundzou 1]
Israel,151,Ben Shemen-Kefar Hano`ar
San Marino,5,Serravalle]
Australia,2043,Kensington and Norwood
Estonia,67,Kuressaare
Cameroon,9,Bafoussam
Cyprus,25,Kato Lakatamia
Malaysia,276,Kampung Paya Simpang Empat Genting
Iceland,18,Vestmannaeyjar
Oman,7,[Al Sohar
Armenia,14,Erebuni Fortress
Gabon,5,Port-Gentil]
Austria,1401,Bruck an der Grossglocknerstrasse
Mozambique,8,Mozambique
El Salvador,30,Botoncillal El Botoncillo
Luxembourg,116,Heisdorf-sur-Alzette
Brazil,2044,Posto Fiscal Rolim de Moura
Guam,6,Tamuning-Tumon-Harmon Village
Algeria,32,Bordj Bou Arreridj
Slovenia,152,Lovrenc na Dravskem Polju
Antigua and Barbuda,6,Cassada Gardens
Colombia,111,Municipio de Copacabana
Ecuador,69,General Leonidas Plaza Gutierrez
Hungary,739,Jaszfelsoszentgyorgy
Japan,1222,Kii-nagashimaku-nagashima
Belarus,22,Radoshkovichi
Mauritius,13,Ebene CyberCity
Albania,6,Ura Vajgurore]
New Zealand,280,Paraparaumu Beach
Senegal,12,Madina Kokoun
Honduras,19,San Antonio de Flores
Italy,4487,Collefontana-Fontana Liri Inferiore
Macedonia,30,Makedonska Kamenica
Haiti,10,Port-au-Prince
Afghanistan,8,Wazir Akbar Khan]
Singapore,34,Bukit Panjang New Town
Egypt,39,Madinat as Sadis min Uktubar
Republic of Lithuania,23,Vilniaus Apskritis
Bolivia,17,Guayaramerin
Malta,66,San Pawl il-Bahar
Russia,1036,Petropavlovsk-Kamchatsky
Saudi Arabia,39,Madinat Yanbu` as Sina`iyah
Netherlands,1463,Westerhaar-Vriezenveensewijk
Pakistan,70,Dera Ghazi Khan
Kosovo,5,Mitrovica
China,1798,Chengxian Chengguanzhen
Ireland,292,Kilbride Cross Roads
Martinique,18,Les Trois-Ilets
U.S. Virgin Islands,5,[Charlotte Amalie
Slovakia,231,Druzstevna pri Hornade
France,12883,Rouffignac-Saint-Cernin-de-Reilhac
Serbia,93,Banatsko Novo Selo
Bosnia and Herzegovina,40,Bosanska Dubica
Romania,355,Campulung Moldovenesc
Philippines,402,Don Bosco Executive Village
Bangladesh,17,Narayanganj
Barbados,23,Pine Housing Estate
Nicaragua,13,San Juan del Sur]
Norway,905,Vestra Mosterhamn
Botswana,5,[Francistown
Myanmar [Burma],6,Kyauktada
Denmark,576,Bording Stationsby
Dominican Republic,23,San Fernando de Monte Cristi
Hashemite Kingdom of Jordan,7,Ar Ramtha
Mexico,748,Ejido Santa Maria Tianguistenco (Ejido el Rosario)
Zimbabwe,9,Victoria Falls]
Suriname,9,Nieuw Amsterdam
Republic of Moldova,19,[Anenii Noi
Greenland,17,Uummannaq Kommune]
Montenegro,10,Herceg Novi
Indonesia,273,Kebayoran Lama Selatan
